# simulations contain red noise only, the white noise is added as a constant
# white noise level: 1.2727540340e-05
# model DDM(tau = 1d) = 3.62e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 1.40590e-05 3.36052e-06 38 1.27285e-05 1.27282e-05 1.27289e-05
8.40 1.41371e-05 4.90415e-06 29 1.27290e-05 1.27286e-05 1.27295e-05
10.08 2.01595e-06 4.19228e-06 2 1.27288e-05 1.27278e-05 1.27308e-05
12.10 1.45562e-05 4.10419e-06 34 1.27302e-05 1.27294e-05 1.27314e-05
14.52 1.42288e-05 3.70947e-06 46 1.27309e-05 1.27300e-05 1.27324e-05
17.42 1.49081e-05 4.20191e-06 34 1.27320e-05 1.27307e-05 1.27341e-05
20.90 1.38112e-05 2.87643e-06 72 1.27337e-05 1.27320e-05 1.27367e-05
25.08 1.22953e-05 2.97377e-06 47 1.27361e-05 1.27334e-05 1.27408e-05
30.10 1.22060e-05 2.95540e-06 71 1.27383e-05 1.27350e-05 1.27441e-05
36.12 1.29784e-05 2.58377e-06 86 1.27419e-05 1.27375e-05 1.27502e-05
43.34 1.20659e-05 2.23809e-06 109 1.27466e-05 1.27409e-05 1.27596e-05
52.01 1.61599e-05 2.21397e-06 149 1.27544e-05 1.27454e-05 1.27740e-05
62.41 1.46441e-05 2.56314e-06 109 1.27628e-05 1.27507e-05 1.27894e-05
74.90 1.36467e-05 1.89700e-06 180 1.27735e-05 1.27565e-05 1.28122e-05
89.87 1.13385e-05 1.61541e-06 221 1.27897e-05 1.27654e-05 1.28463e-05
107.85 1.33185e-05 1.65119e-06 231 1.28102e-05 1.27758e-05 1.28938e-05
129.42 1.40610e-05 1.49180e-06 306 1.28384e-05 1.27892e-05 1.29597e-05
155.30 1.33895e-05 1.48313e-06 312 1.28763e-05 1.28032e-05 1.30611e-05
186.36 1.39992e-05 1.40571e-06 347 1.29196e-05 1.28198e-05 1.31879e-05
223.64 1.57232e-05 1.35358e-06 408 1.29786e-05 1.28393e-05 1.33691e-05
268.36 1.41847e-05 1.15725e-06 496 1.30571e-05 1.28668e-05 1.35948e-05
322.04 1.44237e-05 1.05684e-06 601 1.31584e-05 1.29074e-05 1.39167e-05
386.44 1.43520e-05 9.91228e-07 704 1.32990e-05 1.29659e-05 1.43364e-05
463.73 1.67368e-05 1.03895e-06 820 1.34878e-05 1.30273e-05 1.49103e-05
556.48 1.60199e-05 9.88837e-07 911 1.37068e-05 1.30876e-05 1.57211e-05
667.77 1.52908e-05 9.18382e-07 919 1.40148e-05 1.31639e-05 1.68192e-05
801.33 1.73334e-05 1.04610e-06 892 1.44069e-05 1.32272e-05 1.82402e-05
961.59 1.35639e-05 9.83369e-07 744 1.48730e-05 1.33028e-05 2.01006e-05
1153.91 1.37499e-05 1.04936e-06 539 1.54736e-05 1.34492e-05 2.24776e-05
1384.70 1.77338e-05 1.36546e-06 526 1.61431e-05 1.34093e-05 2.58098e-05
1661.63 2.10484e-05 5.01962e-06 64 1.72184e-05 1.33839e-05 3.06752e-05
