# simulations contain red noise only, the white noise is added as a constant
# white noise level: 1.0346781176e-05
# model DDM(tau = 1d) = 7.52e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 1.12373e-05 1.57957e-06 14 1.03489e-05 1.03480e-05 1.03501e-05
8.40 8.14487e-06 2.16626e-06 8 1.03494e-05 1.03482e-05 1.03511e-05
10.08 2.54289e-05 1.40105e-05 1 1.03490e-05 1.03470e-05 1.03556e-05
12.10 2.08762e-05 3.07114e-06 9 1.03523e-05 1.03500e-05 1.03562e-05
14.52 5.02266e-06 9.96831e-07 16 1.03535e-05 1.03511e-05 1.03578e-05
17.42 6.53514e-06 3.14376e-06 4 1.03544e-05 1.03495e-05 1.03661e-05
20.90 1.87720e-05 1.91523e-06 25 1.03601e-05 1.03554e-05 1.03679e-05
25.08 1.29965e-05 2.00524e-06 14 1.03654e-05 1.03576e-05 1.03773e-05
30.10 7.41430e-06 1.37601e-06 20 1.03694e-05 1.03608e-05 1.03845e-05
36.12 1.38298e-05 1.69760e-06 25 1.03772e-05 1.03660e-05 1.03973e-05
43.34 5.80687e-06 1.19960e-06 22 1.03876e-05 1.03714e-05 1.04189e-05
52.01 7.26758e-06 8.05354e-07 44 1.04054e-05 1.03821e-05 1.04473e-05
62.41 1.12699e-05 1.17423e-06 35 1.04231e-05 1.03914e-05 1.04829e-05
74.90 1.11467e-05 9.64912e-07 54 1.04454e-05 1.04031e-05 1.05263e-05
89.87 1.30032e-05 9.76753e-07 63 1.04830e-05 1.04202e-05 1.05989e-05
107.85 1.07350e-05 8.53305e-07 65 1.05207e-05 1.04354e-05 1.06883e-05
129.42 1.08925e-05 7.34561e-07 103 1.05821e-05 1.04637e-05 1.08249e-05
155.30 9.94958e-06 6.82946e-07 104 1.06611e-05 1.04968e-05 1.10111e-05
186.36 1.00383e-05 6.13889e-07 119 1.07596e-05 1.05366e-05 1.12520e-05
223.64 1.19449e-05 6.92795e-07 127 1.08912e-05 1.05691e-05 1.15724e-05
268.36 9.84483e-06 5.29858e-07 148 1.10459e-05 1.06070e-05 1.20776e-05
322.04 9.58402e-06 5.03943e-07 161 1.12493e-05 1.06451e-05 1.26755e-05
386.44 1.08597e-05 4.98539e-07 176 1.15075e-05 1.06801e-05 1.35570e-05
463.73 1.20176e-05 5.63672e-07 183 1.17805e-05 1.07182e-05 1.48407e-05
556.48 1.36709e-05 5.99444e-07 199 1.22400e-05 1.07413e-05 1.64463e-05
667.77 1.60610e-05 6.45217e-07 184 1.27919e-05 1.08004e-05 1.84214e-05
801.33 2.06078e-05 1.12256e-06 107 1.33525e-05 1.07827e-05 2.07751e-05
961.59 1.51319e-05 1.61461e-06 44 1.38096e-05 1.07617e-05 2.41811e-05
