# simulations contain red noise only, the white noise is added as a constant
# white noise level: 1.8420333110e-07
# model DDM(tau = 1d) = 6.35e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 1.53234e-07 2.62680e-08 127 1.85915e-07 1.85558e-07 1.86421e-07
8.40 1.67655e-07 1.49077e-07 6 1.86168e-07 1.85175e-07 1.87586e-07
10.08 1.63216e-07 1.24684e-07 6 1.87386e-07 1.85714e-07 1.90243e-07
12.10 1.76898e-07 3.06023e-07 2 1.87588e-07 1.85086e-07 1.93502e-07
14.52 1.61541e-07 2.53580e-08 137 1.89885e-07 1.88601e-07 1.91775e-07
17.42 1.28093e-07 1.06762e-07 6 1.91155e-07 1.87104e-07 1.99132e-07
20.90 2.15765e-07 3.09681e-08 134 1.95264e-07 1.92490e-07 1.99659e-07
25.08 3.22419e-07 1.29478e-07 11 1.97710e-07 1.91507e-07 2.09579e-07
30.10 1.88321e-07 2.77307e-08 137 2.02123e-07 1.97289e-07 2.10028e-07
36.12 2.49830e-07 3.29756e-08 137 2.09962e-07 2.02713e-07 2.22386e-07
43.34 2.75910e-07 3.36983e-08 140 2.18828e-07 2.08741e-07 2.36476e-07
52.01 2.27299e-07 2.22959e-08 271 2.33937e-07 2.17944e-07 2.60211e-07
62.41 2.65296e-07 3.39311e-08 143 2.50085e-07 2.27928e-07 2.88090e-07
74.90 3.08011e-07 2.58697e-08 273 2.69638e-07 2.39822e-07 3.19839e-07
89.87 3.14456e-07 2.29004e-08 348 3.02360e-07 2.58893e-07 3.76722e-07
107.85 3.49643e-07 2.61776e-08 308 3.40918e-07 2.79435e-07 4.47806e-07
129.42 3.95507e-07 2.17661e-08 492 3.92067e-07 3.05540e-07 5.50794e-07
155.30 4.95199e-07 2.38819e-08 509 4.69421e-07 3.44343e-07 6.99921e-07
186.36 5.26816e-07 2.26291e-08 605 5.63763e-07 3.84721e-07 8.88128e-07
223.64 5.83623e-07 2.27899e-08 673 6.80753e-07 4.34524e-07 1.13951e-06
268.36 7.96685e-07 2.39095e-08 831 8.38164e-07 4.92658e-07 1.48890e-06
322.04 1.13421e-06 2.58893e-08 1027 1.03639e-06 5.70988e-07 1.96544e-06
386.44 1.55514e-06 2.94822e-08 1113 1.27799e-06 6.73513e-07 2.64365e-06
463.73 1.77050e-06 3.01801e-08 1233 1.57445e-06 7.47349e-07 3.54707e-06
556.48 2.46901e-06 3.31067e-08 1418 1.99640e-06 8.37415e-07 4.86271e-06
667.77 3.41701e-06 3.88435e-08 1460 2.51381e-06 9.39620e-07 6.67100e-06
801.33 4.41975e-06 4.30975e-08 1531 3.15555e-06 1.01346e-06 9.00622e-06
961.59 6.26169e-06 5.23613e-08 1488 3.81141e-06 9.80397e-07 1.24541e-05
1153.91 8.25047e-06 6.46704e-08 1295 4.69573e-06 1.00594e-06 1.66156e-05
1384.70 8.53018e-06 9.33213e-08 804 5.81395e-06 9.34837e-07 2.31256e-05
1661.63 1.27401e-05 2.95238e-07 166 7.24165e-06 9.87582e-07 2.88986e-05
