# simulations contain red noise only, the white noise is added as a constant
# white noise level: 1.8095440588e-06
# model DDM(tau = 1d) = 2.79e-10
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 1.33846e-06 2.68284e-07 102 1.81700e-06 1.81538e-06 1.81960e-06
8.40 2.34676e-06 1.55899e-06 6 1.81825e-06 1.81369e-06 1.82565e-06
10.08 7.84066e-07 8.42179e-07 7 1.82293e-06 1.81667e-06 1.83497e-06
12.10 2.78825e-06 8.26937e-06 1 1.82129e-06 1.81041e-06 1.85580e-06
14.52 1.93191e-06 3.20395e-07 106 1.83484e-06 1.82836e-06 1.84412e-06
17.42 3.77077e-07 5.64820e-07 7 1.83934e-06 1.82361e-06 1.87027e-06
20.90 2.02502e-06 3.27373e-07 108 1.85840e-06 1.84539e-06 1.87915e-06
25.08 8.79812e-07 6.53915e-07 11 1.86895e-06 1.84225e-06 1.91209e-06
30.10 2.57312e-06 3.86446e-07 107 1.88924e-06 1.86657e-06 1.92554e-06
36.12 2.53157e-06 3.83913e-07 104 1.92390e-06 1.88864e-06 1.97945e-06
43.34 2.42689e-06 3.72534e-07 111 1.96468e-06 1.91466e-06 2.04256e-06
52.01 2.49742e-06 3.02396e-07 199 2.02857e-06 1.95255e-06 2.15101e-06
62.41 2.67601e-06 4.15639e-07 112 2.09945e-06 1.99670e-06 2.28167e-06
74.90 3.01380e-06 3.46541e-07 191 2.18372e-06 2.04479e-06 2.42605e-06
89.87 3.14129e-06 3.30484e-07 236 2.32731e-06 2.12223e-06 2.68602e-06
107.85 2.95975e-06 3.37981e-07 215 2.48491e-06 2.21087e-06 2.99656e-06
129.42 3.73343e-06 3.19422e-07 298 2.71892e-06 2.35563e-06 3.51572e-06
155.30 3.80279e-06 3.25168e-07 312 3.03486e-06 2.52653e-06 4.20317e-06
186.36 4.05243e-06 3.03229e-07 363 3.44565e-06 2.74463e-06 5.11764e-06
223.64 5.73967e-06 3.38471e-07 457 3.93932e-06 2.96780e-06 6.32847e-06
268.36 5.33480e-06 2.86217e-07 592 4.61816e-06 3.21530e-06 8.01981e-06
322.04 5.75385e-06 2.61865e-07 713 5.48246e-06 3.53058e-06 1.05206e-05
386.44 5.33877e-06 2.25215e-07 706 6.82441e-06 3.90250e-06 1.40402e-05
463.73 5.87676e-06 2.14045e-07 762 8.24136e-06 4.25805e-06 1.87830e-05
556.48 8.60598e-06 2.57555e-07 996 1.00911e-05 4.61685e-06 2.61758e-05
667.77 1.01052e-05 2.81323e-07 1059 1.28526e-05 5.31512e-06 3.53003e-05
801.33 1.37522e-05 2.85365e-07 1223 1.58860e-05 5.64058e-06 4.82075e-05
961.59 1.42740e-05 3.60124e-07 1032 1.90463e-05 6.24232e-06 6.44720e-05
1153.91 3.13593e-05 4.64418e-07 1115 2.32553e-05 5.29252e-06 8.94864e-05
1384.70 3.01038e-05 6.03757e-07 950 2.85958e-05 5.44361e-06 1.21344e-04
1661.63 4.75350e-05 1.23817e-06 354 3.57772e-05 4.90428e-06 1.43308e-04
