# simulations contain red noise only, the white noise is added as a constant
# white noise level: 7.4904943442e-06
# model DDM(tau = 1d) = 5.24e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 7.52233e-06 2.02625e-06 56 7.49200e-06 7.49161e-06 7.49257e-06
12.10 1.70550e-05 1.56743e-05 2 7.49361e-06 7.49129e-06 7.49873e-06
14.52 1.04233e-05 2.52314e-06 51 7.49532e-06 7.49383e-06 7.49761e-06
17.42 5.02149e-06 5.99645e-06 2 7.49528e-06 7.49186e-06 7.50426e-06
20.90 8.90808e-06 2.20604e-06 53 7.49982e-06 7.49663e-06 7.50475e-06
25.08 3.43355e-06 4.74667e-06 2 7.49879e-06 7.49273e-06 7.51393e-06
30.10 8.35607e-06 2.29449e-06 46 7.50528e-06 7.49978e-06 7.51443e-06
36.12 6.28389e-06 1.91588e-06 54 7.51200e-06 7.50369e-06 7.52620e-06
43.34 7.52353e-06 1.97171e-06 55 7.51854e-06 7.50722e-06 7.53938e-06
52.01 8.83755e-06 1.59868e-06 106 7.53003e-06 7.51366e-06 7.56216e-06
62.41 9.70989e-06 2.25797e-06 54 7.54266e-06 7.51973e-06 7.58822e-06
74.90 7.13749e-06 1.48900e-06 103 7.55841e-06 7.52588e-06 7.62057e-06
89.87 8.23432e-06 1.40653e-06 131 7.58368e-06 7.53356e-06 7.67718e-06
107.85 7.89105e-06 1.41370e-06 116 7.61030e-06 7.54589e-06 7.73774e-06
129.42 7.22724e-06 1.11213e-06 182 7.65131e-06 7.55847e-06 7.84145e-06
155.30 6.06391e-06 1.04785e-06 176 7.70417e-06 7.57071e-06 7.97741e-06
186.36 7.19701e-06 1.01696e-06 204 7.77017e-06 7.58474e-06 8.16112e-06
223.64 7.70329e-06 1.08344e-06 200 7.83299e-06 7.59817e-06 8.40652e-06
268.36 7.21098e-06 9.39696e-07 236 7.92886e-06 7.61380e-06 8.74635e-06
322.04 7.00396e-06 8.54541e-07 267 8.03760e-06 7.62611e-06 9.25580e-06
386.44 7.92964e-06 9.53573e-07 274 8.18669e-06 7.63284e-06 9.95421e-06
463.73 9.82602e-06 1.04861e-06 282 8.39595e-06 7.64709e-06 1.08258e-05
556.48 1.11826e-05 1.19513e-06 241 8.61530e-06 7.67412e-06 1.18824e-05
667.77 1.10063e-05 1.64680e-06 106 9.02096e-06 7.67013e-06 1.35176e-05
