#_MJD RANGE DM DMunc nToA chisq
56531.3186091629 1.52276e-06 96.925945611534198021 0.00138612 10 0.8118 
56570.2497626901 1.50819e-06 96.925512726858152911 0.00278175969149245398 10 2.8371 
56574.2527330813 1.55665e-06 96.924185887754749968 0.0019095 10 0.5248 
56582.1609078253 1.53791e-06 96.92549225418851544 0.00204595892745754009 10 1.8393 
56608.0992616091 1.50321e-06 96.923277473565837357 0.00232556 10 0.6958 
56616.0978876391 1.50874e-06 96.928339300760794822 0.00204996458128435186 10 1.2720 
56643.0478483066 1.41536e-06 96.925696661222345688 0.00354919 8 0.6423 
56664.9531652351 1.57473e-06 96.928682724365573364 0.00385571 8 0.3055 
#56670.9364126458 1.60831e-06 96.934007888665865378 0.00853969159558054872 7 1.8163 
#56677.8869587862 1.43752e-06 96.91950868466882333 0.00753638 7 0.4328 
#56684.8916258253 1.50065e-06 96.918996309899263168 0.00560022 7 0.6271 
#56691.8343325992 1.5089e-06 96.919449489128925011 0.00730408 6 0.9881 
#56698.8492571947 1.46292e-06 96.931125942379996137 0.00814094406121712577 7 1.4665 
#56699.9437332591 1.61182e-06 96.918641924612089628 0.00279159088891108844 10 1.2404 
56706.9006605165 1.60909e-06 96.929194279561503196 0.00286228 10 0.9259 
56712.8778009888 1.59613e-06 96.926531247132529864 0.00263777 10 0.7732 
56723.7798381189 1.59184e-06 96.920510726692281123 0.0064599 7 0.7180 
56723.8669997550 1.60073e-06 96.921199833695855286 0.00314591179183690414 10 1.2193 
56725.8769868835 1.67013e-06 96.927400353736046651 0.00375571596378325217 10 2.0169 
56732.9061826578 1.63816e-06 96.928071026475468998 0.00442002164706923641 10 1.7176 
56737.8269803463 1.61778e-06 96.928628502326988091 0.00292753 10 0.4577 
#56739.7763750245 1.50596e-06 96.914104643111735241 0.00696526219927045501 7 1.0671 
56739.8415157367 1.57337e-06 96.927918304829573527 0.00325994903697159793 10 1.3364 
#56744.7298595712 1.59218e-06 96.935816053964304562 0.00649 7 0.6891 
