#_MJD RANGE DM DMunc nToA chisq
56543.8122969413 2.10787e-06 12.443526738950010773 0.00033675295126865603 4 1.0238 
56565.7680262012 6.95644e-06 12.443102875012153024 0.00014536312150310974 10 0.7342 
#56574.7660279566 6.5738e-06 12.443704527220653862 0.00041080122148542611 9 2.4273 
#56600.6865222936 6.58598e-06 12.443463441838756099 0.00042517320370130283 8 1.9089 
56614.6309413882 5.86513e-06 12.443143225360021632 0.00043233703472598427 7 1.1306 
56671.4462200667 6.94852e-06 12.443302457368104599 0.00034729007503435930 9 1.7182 
56678.4098008713 6.95969e-06 12.443671557614072398 0.00037439222949726080 9 1.0713 
56714.3890382943 5.88659e-06 12.443576076050131874 0.00023428387415436435 8 0.5599 
56724.3465410088 6.55801e-06 12.443459976139187344 0.00032545890483117606 9 1.4791 
#56731.3714300133 6.95419e-06 12.443497740413458686 0.00029017002101109930 10 1.7589 
#56732.3562687948 7.03205e-06 12.442805019187191901 0.00024045493990679790 10 1.2163 
56738.3077109336 6.95101e-06 12.44312138996933267 0.00013230473338339224 10 0.5933 
56745.2679555025 6.95891e-06 12.443603603330100251 0.00023627663128728991 10 1.3360 
#56752.2855850722 6.95897e-06 12.443042628913229557 0.00039040958990505052 10 2.6769 
56753.2590854606 7.03268e-06 12.443537402572832426 0.00022034068656060529 10 0.7481 
56759.1943691145 6.95252e-06 12.443359047380977359 0.00027116856756456904 10 1.7437 
#56760.2236623503 6.5757e-06 12.443431043551603159 0.00022532683529358390 9 0.9436 
56766.2867518905 5.86407e-06 12.44308731618505673 0.00023692852542678481 8 0.4912 
56774.1971551287 7.03277e-06 12.443390928404316865 0.00024419847202126544 10 1.4848 
56780.1979600570 6.95558e-06 12.443574353064446134 0.00010431322994252736 10 0.3943 
56781.1995992376 7.03118e-06 12.443677918480918878 0.00014609216486813765 10 0.5918 
56787.1707494658 6.95522e-06 12.443360679575209025 0.00026340069021755103 10 2.8649 
#56788.1720358997 5.9666e-06 12.44262852791888577 0.00035640761095795506 8 1.3564 
#56794.9243191812 5.96537e-06 12.443952857721128306 0.00054583965234871758 6 1.3443 
56801.1381174110 6.95095e-06 12.443747498169457471 0.00016011053666262722 10 0.9909 
56802.1381578811 6.63132e-06 12.443347054281562875 0.00019462620085209672 9 1.1807 
56809.0665579107 7.0242e-06 12.443283230443007123 0.00020906756952879043 10 1.1355 
56821.9976530774 6.95773e-06 12.443370417691841092 0.00014447995359098998 10 1.0900 
56830.1091590272 6.95567e-06 12.44355491630708273 0.00011805348755920880 10 1.3565 
56837.9182552603 6.95458e-06 12.443351790996966187 0.00016635560395476622 10 3.0868 
56838.0022217221 6.95694e-06 12.443321065948232671 0.00007829353272044026 10 0.6976 
56838.0644575372 6.95513e-06 12.443413998186394044 0.00011960718104310590 10 1.2163 
56838.1271422328 6.95383e-06 12.443155976682034293 0.00013324522737988035 10 1.8444 
56844.0542534622 6.95774e-06 12.443193155661841435 0.00007497625850135534 10 0.7086 
56851.0148820328 6.95766e-06 12.443298370345491083 0.00009854295657500673 10 0.8803 
56858.0447240588 6.95483e-06 12.44335065417042994 0.00006393780307522911 10 0.3434 
56866.0319830297 6.95718e-06 12.443487828984310552 0.00011066432154295210 10 0.9965 
56873.0020039407 6.95738e-06 12.443372801146757968 0.00014524890433157756 10 1.1714 
