#_MJD RANGE DM DMunc nToA chisq
56724.5027543124 1.11909e-06 151.13124003373336211 0.00504604244926303187 4 0.3223 
56738.4639025325 8.91931e-07 151.14130676065665571 0.00243230778596901500 4 0.0699 
56739.4707440569 1.59467e-06 151.11973466719548907 0.00493637490556335812 4 0.2639 
56759.3505863939 1.15222e-06 151.12484613686137555 0.00530804603358066372 4 0.3662 
56767.3992694398 1.4542e-06 151.14032750513050404 0.00685787651334866018 4 0.5149 
56780.3541172619 1.03594e-06 151.13722234628998797 0.00775668443348347982 4 0.6516 
56781.3529431953 1.10872e-06 151.13002745196135738 0.00232791536305529054 4 0.0672 
56788.3373862333 1.33974e-06 151.13344176543832464 0.00851927598765403991 4 0.8022 
56795.0812289672 9.6134e-07 151.15069395530693321 0.00716130653791681449 4 0.2469 
56817.2103473497 1.06101e-06 151.12898652108951036 0.00245304356397036977 4 0.0877 
56822.1437312428 9.35106e-07 151.12423711224289555 0.00268778123789587377 4 0.1043 
#56830.2235674340 9.82876e-07 151.12215152615295108 0.01164187975702776767 4 2.3468 
56844.1818663503 1.61556e-06 151.13510166724197223 0.00884741310211130220 4 1.4483 
56858.1667363989 1.37814e-06 151.13243078801718672 0.00735002153874533305 5 0.7004 
56866.1628083388 1.15718e-06 151.11992471876311618 0.00518871727318226741 4 0.4347 
56873.1435063318 8.35651e-07 151.13180878323851312 0.00853954472762482458 4 1.0462 
56893.0439707561 9.5625e-07 151.13644175943485212 0.00538730384192218342 4 0.4806 
56899.0022224299 1.00779e-06 151.12721249267806389 0.00112871143664093013 4 0.0285 
56906.9931875408 1.0517e-06 151.14283920913818254 0.00130264572044034568 5 0.0438 
56928.9206176990 1.10745e-06 151.13050543536497111 0.00433887132103414133 4 0.3147 
56941.8229997019 1.80282e-06 151.14236444397217045 0.00628755661175914825 4 0.3834 
56975.7956280268 1.02889e-06 151.13649182048399477 0.00210555880682073088 4 0.0644 
57018.7159515072 1.69197e-06 151.14773243121709687 0.00140200555851209161 5 0.0416 
57040.6361015217 1.02338e-06 151.14800898990163697 0.01095054621918882705 5 2.2362 
57053.6311611338 1.83073e-06 151.1420799866331227 0.00856231740422949347 4 1.2364 
57074.5535397685 1.00886e-06 151.15022561894925306 0.01092505035472529293 4 1.4340 
57082.5278555954 8.79398e-07 151.14014411777494498 0.00995009046928684027 5 1.5203 
57089.5602820211 7.32787e-07 151.1503011732686282 0.00354790732544954567 4 0.1686 
