#_MJD RANGE DM DMunc nToA chisq
56886.9978606771 4.1545e-06 139.89947768882250653 0.67616051725998227440 9 182.6821 
56893.9769950170 5.18798e-06 139.6810730862798636 0.86824220577135868826 8 575.2283 
56907.9772063298 2.34659e-06 138.84154790082884365 1.01144890398001785492 5 248.8380 
56914.9318743833 5.49243e-06 138.27353594674696144 1.59102286372081302979 6 492.1557 
56921.9318710443 5.50082e-06 141.03306583390871151 1.01807636742885843084 9 434.5571 
56928.8867452324 7.10222e-06 140.38168270642143105 1.21373820958865064057 9 961.4286 
56935.8867792302 7.18741e-06 141.05676687866373373 1.14071031653575016840 9 617.4350 
56942.8868813306 4.87169e-06 141.92145058477885575 0.77909842358757841474 9 208.6484 
56948.8451425215 4.65433e-06 139.98029713371414126 0.35686727401554890760 10 109.3717 
56955.8034648102 7.03466e-06 138.80007053585931928 1.28472613360915244307 9 713.3433 
56968.7340375404 5.31139e-06 139.08565236238683646 1.71416965471848503633 6 990.6249 
56977.7757483977 4.28699e-06 140.72059374157749798 0.49889605824770050235 9 137.5125 
56991.7340384418 4.60624e-06 141.43012246479983526 0.98733347209482602569 9 635.5741 
56998.6923426460 3.97471e-06 139.71374064852177607 0.72628912417162017068 9 227.2127 
57005.7131997640 3.80499e-06 140.11347937696995616 0.51080833242050738274 9 156.3027 
57012.6681051291 4.08043e-06 141.18458182669117448 0.86965879866334105941 9 406.6037 
57019.6679652731 6.81349e-06 140.13981113668118572 0.72470429679465953043 10 384.7506 
57026.6227677261 4.07715e-06 140.15890011937117876 0.44688981632606084027 9 215.2531 
57033.5777664615 4.27799e-06 140.18020681078240458 0.66321301362469320395 9 334.3464 
57040.5777338889 4.97049e-06 140.7363356581762204 0.73514637360365531205 10 439.2379 
57047.5326989994 4.41511e-06 140.52660089313123726 0.79141818073281544610 8 449.0368 
57054.5326126639 4.43795e-06 141.59539046126881554 0.63716890100162859589 9 296.7910 
57068.4874724495 5.89691e-06 139.8629992316862278 0.87511579583072474087 9 349.4312 
57075.4944080229 5.59736e-06 139.28140976636391909 0.93211472034490383543 8 598.5993 
57082.4943726438 6.30823e-06 140.88765027253652803 0.65347457949607146155 8 279.2244 
57096.4487967331 4.40046e-06 139.96518948610883468 0.43673746005133218251 9 142.9274 
57103.4041757452 6.10899e-06 139.01659359254055057 1.07366388632439169193 9 948.8845 
57110.4041328606 4.29244e-06 141.32768593153013956 0.71635109503485605575 9 322.9665 
57118.3617717707 6.5588e-06 139.19052969382121207 0.78763020003477035580 9 507.9144 
57125.3449950279 6.80087e-06 138.90626122163528353 1.42476974820685220458 8 1108.4587 
57132.3242580318 6.34741e-06 140.72779937174036849 0.33264476050372260296 10 127.6890 
