#_MJD RANGE DM DMunc nToA chisq
56865.5949765421 1.19136e-06 2.9701679847341323009 0.00024564708194563305 7 26.8722 
56886.5532767636 1.20501e-06 2.9682941693840578694 0.00121710212073636087 6 54.6188 
56893.4837161636 1.26034e-06 2.9675981887887449217 0.00006496202899489537 6 0.5663 
56907.4875999269 1.25681e-06 2.9684282444968762668 0.00039181732644737031 6 58.7078 
56914.4424279494 1.25841e-06 2.9686792155205979308 0.00026289850429326612 10 32.0549 
56921.4422301415 1.18724e-06 2.9692935478910579068 0.00036509813525687163 9 15.4951 
56942.3972430694 1.19718e-06 2.9697829622627609336 0.00038440244541960311 8 30.9851 
56949.4044282491 1.19417e-06 2.9697548452274006234 0.00049967498916847345 7 97.4678 
56956.3625268188 1.26681e-06 2.9688784470976100998 0.00017156574017857532 9 5.3452 
56969.2723789110 1.28854e-06 2.9694802876671474263 0.00035007621014848515 10 33.6929 
56978.3138651175 1.2684e-06 2.9687888061839748169 0.00031711401357504296 10 5.0039 
56992.2726779969 1.2344e-06 2.9697627394229536063 0.00082307923328845561 6 249.1887 
56999.2305517873 1.27288e-06 2.9694691751952166339 0.00089525470820431784 8 250.9001 
57006.2306723431 1.27272e-06 2.9694682985327943824 0.00071686652289465176 10 134.7975 
57013.1856006041 1.27644e-06 2.9686741375498322747 0.00039772107337956531 10 54.9852 
57020.1855634012 1.27391e-06 2.97019752879374758 0.00089955109815984772 9 287.7146 
57027.1403313655 1.27757e-06 2.9688207465348466435 0.00031945377707259478 8 75.9107 
57048.0917403123 1.27904e-06 2.9694386025291975954 0.00123512091629111040 9 641.5896 
57076.0291193030 1.2124e-06 2.9696345975337165319 0.00047553906840028725 7 215.6294 
57083.0292065823 1.21222e-06 2.9691016076037923196 0.00056619199087397723 6 6.4113 
57096.9842147390 1.27068e-06 2.9699649046718769323 0.00073410783200471025 7 92.5305 
57117.8740750531 1.27457e-06 2.9687790462064550126 0.00093697175494405430 9 556.6558 
57131.8731651295 1.2726e-06 2.9693289247935219118 0.00014540938545513500 7 3.4663 
57138.8732160992 1.26758e-06 2.9691111766747444456 0.00089106075158101145 8 369.8809 
57152.7864167832 1.26826e-06 2.9693185514597897564 0.00021043130879046969 10 24.8469 
57159.7860704373 1.25733e-06 2.9686702656902105718 0.00032357816915346401 8 46.6185 
57173.7412793988 1.25947e-06 2.969112177721812411 0.00022760234815034599 9 36.6852 
57180.7412997936 1.25496e-06 2.9690763400416633761 0.00049578666592420522 10 317.6974 
57187.6960844726 1.19389e-06 2.9698378434037057219 0.00039094105890681688 9 8.5117 
57215.6716977690 1.2589e-06 2.9690809373348184396 0.00081038527960171759 10 187.3066 
57229.6267882170 1.16596e-06 2.9684217468468223045 0.00053627436985197814 8 65.7607 
57236.5812867538 1.25763e-06 2.9685689521958363816 0.00056474835483083183 9 34.1595 
57243.5813239081 1.18888e-06 2.9689064974357270072 0.00035947939147416711 7 7.9871 
57257.4943275767 1.26033e-06 2.9688765456669808202 0.00046653418831507849 7 33.3188 
57271.4943568658 1.23685e-06 2.9691589569739402536 0.00074037908674781032 8 174.2947 
57278.4494681180 1.17581e-06 2.9690155798024699411 0.00038513754629831938 7 34.1243 
57292.4042355322 1.25616e-06 2.9692685893214008255 0.00023170621182913288 9 7.1205 
57299.4042549910 1.18741e-06 2.9690139310795135795 0.00017845249030038537 8 2.0926 
57309.4139288534 1.25739e-06 2.9684636678338055349 0.00088987430483939583 10 33.5336 
57314.3387075937 1.25817e-06 2.9694676422423884011 0.00007041344526991815 7 1.0694 
57321.2999801388 1.27616e-06 2.9688570601380843191 0.00026731410385081342 9 67.5270 
57328.3001398889 1.26014e-06 2.968297065977435006 0.00055986850139769012 8 166.7858 
57335.3001320554 1.24579e-06 2.9690145878593571316 0.00026575946330372878 8 37.6692 
57342.2997471085 1.28435e-06 2.9691869776757341512 0.00031346209728998849 9 44.4511 
57349.2546317350 1.27044e-06 2.9691383778829578632 0.00070164277156230855 9 313.6669 
57356.2548891991 1.27127e-06 2.9695516307623135328 0.00101351978999648148 9 152.8160 
57363.2097072022 1.27186e-06 2.9695748347398308168 0.00037337717249813192 10 131.0925 
57370.2097603743 1.27525e-06 2.9693140832510376312 0.00081820158617303953 10 226.0468 
57377.1646640988 1.27747e-06 2.9707579102276266642 0.00075732092788367237 6 303.1660 
57387.1645112415 1.272e-06 2.968159668006519532 0.00044810570109942593 10 387.0691 
57391.1647276161 1.27766e-06 2.9688358641008033851 0.00078153753961812352 10 219.7196 
57398.1191735151 1.2875e-06 2.969243109578785361 0.00055696544242508667 10 249.1145 
57405.1197871762 1.27689e-06 2.9683252936814988909 0.00114528052032387842 7 332.7525 
57426.0291728711 1.27643e-06 2.9690573198461977097 0.00015736988446622794 9 3.1527 
57433.0286588093 1.27937e-06 2.9697331480054394986 0.00024453299398260461 9 106.0476 
57447.0218932926 1.28092e-06 2.970176431491049955 0.00101248218459160555 9 137.1228 
57460.9669640977 1.27796e-06 2.9690432157610766734 0.00054855317766173972 10 21.5526 
