#_MJD RANGE DM DMunc nToA chisq
58070.2825869868 1.24056e-06 5.7517319384483930672 0.00003256213047240897 6 0.0120 
58077.2373730260 6.21438e-06 5.7510745445034311333 0.00015724943272592124 18 0.4605 
58084.1923838987 6.34575e-06 5.7516313992502958109 0.00027717785304025251 18 0.3930 
58091.1922580895 6.31028e-06 5.7526575522667049833 0.00035794617935968421 20 0.9614 
58098.1922210753 6.24269e-06 5.7514143913241459307 0.00021333841264816963 20 2.5802 
58105.1471830514 6.34244e-06 5.751846633936583937 0.00017517226050109706 18 1.5568 
58112.1993656660 6.21855e-06 5.7514310136293667255 0.00019917019549335491 20 3.1857 
58119.1020210589 6.31151e-06 5.753128819860853174 0.00024780955876091420 20 1.4563 
58126.1020795449 6.15225e-06 5.7510416271288956913 0.00018925256428769822 18 1.4236 
58133.1021003656 6.15918e-06 5.7517389168568437093 0.00019634517838840288 20 2.0941 
58147.0567813313 4.14116e-06 5.749765022066389938 0.00060810358838724358 14 2.2866 
58154.0115865164 6.17142e-06 5.75267205305225552 0.00020736669480991054 20 0.9241 
58161.0116803237 6.19916e-06 5.7523355480635232637 0.00029109784802623076 20 2.4763 
58167.9673621946 6.20635e-06 5.753060245426801101 0.00022044605984954596 20 0.7140 
58174.9673531581 6.25042e-06 5.7524489716445333437 0.00038065525171787227 20 2.4585 
58188.9256771586 6.20893e-06 5.7506731563723757191 0.00026123015437458098 20 1.3428 
58195.9258200310 6.32712e-06 5.752757504199020655 0.00036796120486492953 20 1.6530 
58202.8842171684 5.25981e-06 5.7517823722258102498 0.00035648573721937135 10 1.4009 
58209.8839326763 6.18614e-06 5.751680054585615748 0.00024879848962027905 20 1.4062 
58216.8841897274 6.1819e-06 5.7516223219775134794 0.00032654466481255913 18 2.1309 
58230.8424765399 6.22639e-06 5.7527709844926541881 0.00026425931934631906 19 1.3781 
58237.8425693366 6.18827e-06 5.752280347726969579 0.00030568870310089275 20 1.5716 
58244.8252160447 6.24767e-06 5.7526129283952190186 0.00028714985944445430 20 3.6697 
58251.8250822933 6.25411e-06 5.7525831369152791404 0.00027340743678609713 20 1.1742 
58258.7416064479 6.14567e-06 5.7516865004678467015 0.00011426491140631427 18 0.6523 
58265.7341975386 6.18526e-06 5.751815595233490066 0.00074383687458058601 11 0.7012 
58286.6930007625 6.24701e-06 5.7517595700188316869 0.00035831642533031574 20 1.9751 
58300.6492394669 6.17757e-06 5.7515096905349454371 0.00044913982797923935 20 2.3264 
58307.6097201787 6.24585e-06 5.7518199139316367515 0.00023449517537730335 18 0.6019 
58328.5298944426 6.18984e-06 5.7504778572310679746 0.00014080982175786202 20 0.5014 
58342.5263673922 6.20512e-06 5.7513349806546669842 0.00008547410687129347 20 0.4731 
58356.4869052260 6.20765e-06 5.7510797915179810492 0.00024846941160198543 20 1.6508 
58370.4429017690 6.25589e-06 5.7516046773626133795 0.00018231792492278318 20 0.5647 
58384.3979799596 7.90744e-07 5.7507926047214575939 1.033797512316551283e-18 4 0.0000 
58394.3774596487 6.17394e-06 5.7517511185178949291 0.00009437029142937664 18 1.1652 
58398.3772600160 6.19145e-06 5.7519209149980563729 0.00029517769282427114 20 2.3183 
58405.3771839504 6.20653e-06 5.7527956589348312965 0.00035881404915820132 20 4.5463 
58440.3080052076 6.19269e-06 5.7512939650014855602 0.00026042108760256956 20 3.0409 
58450.1896241710 6.21634e-06 5.7522507730514518464 0.00024108026000475499 18 2.6100 
58464.1687859739 6.23841e-06 5.7522500350577691927 0.00024321900843789120 20 1.5435 
58471.1237683010 6.28458e-06 5.7514391484724712339 0.00012699542237475784 20 0.4116 
58477.1236285876 6.3268e-06 5.751078762413473842 0.00034900011912932676 20 3.5072 
58499.0403584009 6.21654e-06 5.7520189755960584579 0.00022240758564230691 18 2.8130 
58506.0401815570 6.31248e-06 5.7517131353456724058 0.00029162815800593060 20 1.4210 
58513.0402786665 6.32625e-06 5.7521482088256604315 0.00019603160970193561 20 1.0033 
58519.9951184842 6.21566e-06 5.7510522904955250108 0.00025444498214705064 20 1.8080 
58526.9951871669 6.25229e-06 5.7510488879956160302 0.00014539154896582799 20 1.2127 
58532.9951113584 6.27027e-06 5.7511294646620829633 0.00020053953881255830 20 1.6764 
58540.9500147894 6.22755e-06 5.7518494486479571403 0.00063092918418176751 20 3.3778 
58547.9499950486 6.34385e-06 5.7512388623236784125 0.00046790085314664089 14 0.8506 
58554.9048595962 6.30022e-06 5.7526325102791705502 0.00048360261610875041 20 1.4883 
58589.3179831089 6.1833e-06 5.7513193721436374609 0.00045110447850346360 20 1.4848 
58597.3179003994 6.19361e-06 5.7511146205366417126 0.00040585407959349204 16 0.9525 
58604.3180051660 6.1929e-06 5.7515657202154324055 0.00024760541964555775 6 0.0449 
58610.7797911409 6.33592e-06 5.7517511467887160832 0.00033590747298582155 20 1.0777 
58624.7347047935 6.19959e-06 5.7515159544513805739 0.00043390942232436418 18 2.3422 
