#_MJD RANGE DM DMunc nToA chisq
56769.0732774221 3.68762e-06 19.621476001275867789 0.00005446341705106038 10 2.5891 
56783.0164887170 3.76181e-06 19.622464351962726769 0.00007196755499865875 10 15.8838 
56802.9690147684 3.69628e-06 19.6212742214004496 0.00015501426354522924 10 16.7511 
56816.8729475432 3.93853e-06 19.621002726762389901 0.00005571323199536025 10 2.1821 
56821.8729522988 3.93419e-06 19.621077067071514961 0.00007243093787705066 10 5.5864 
56836.8729955673 3.74854e-06 19.620807726451834725 0.00018153278297901079 10 38.4890 
56844.8556276550 3.79075e-06 19.619242726754426953 0.00008657465948431826 10 8.4668 
56851.8138822653 3.93053e-06 19.619170085297075767 0.00006892020228573781 10 7.7392 
56858.8141923017 3.83761e-06 19.619332681430918382 0.00012549212737478159 10 19.9066 
56865.7790475839 4.04997e-06 19.619482447739944726 0.00009335164813533686 10 13.2360 
56886.6888329238 3.41855e-06 19.619837171456095034 0.00004592555047117863 10 5.2423 
56892.7055215419 4.02814e-06 19.619608637025351034 0.00006011883724421097 10 7.6528 
56907.6887988710 3.97635e-06 19.621994471129916682 0.00009600823209923358 10 6.3309 
56914.5777745207 4.02292e-06 19.620400916807078234 0.00008416930548622999 10 4.4060 
56921.5778109023 4.09333e-06 19.619860192515928504 0.00005655642720053510 10 4.3045 
56928.5604962700 4.0479e-06 19.620065611037673249 0.00005362986479813964 10 3.5599 
56942.5596555593 4.05107e-06 19.620066099137905566 0.00013115021838376354 10 11.4262 
56949.5395396988 4.10439e-06 19.619941473083979244 0.00006811745589068834 10 5.0739 
56956.4980158465 3.87564e-06 19.620203773339717065 0.00013743595233731232 10 11.2234 
56961.6662210629 3.43056e-06 19.619207852628232925 0.00013018686033763524 9 7.2079 
56965.4452736491 3.843e-06 19.61964541880235317 0.00016147377105561308 10 23.7064 
56969.5014360828 3.92814e-06 19.619743097708008433 0.00007910803743924535 10 5.2328 
56977.4283824818 3.8702e-06 19.619206771861524397 0.00004397225066036114 10 1.5655 
56981.4993394337 3.96386e-06 19.618406756158211394 0.00006934908279434042 10 8.5770 
56991.3868044474 4.08836e-06 19.618974047402109763 0.00005806489189329375 10 1.9364 
56998.3761460851 3.87713e-06 19.618250117421439163 0.00005910977498959579 10 5.4509 
57005.3972614818 3.94506e-06 19.619269647659644857 0.00007169095123714000 10 6.0648 
57013.3555822909 3.97108e-06 19.619129559728208807 0.00008774400159093164 10 7.3699 
57020.3555032143 3.9477e-06 19.618817090267976787 0.00006668472244030018 10 4.4225 
57027.3105652903 4.10684e-06 19.619232835807501401 0.00011678562938643688 10 15.3317 
57031.4077992745 3.87162e-06 19.619657834644244664 0.00007818944772539232 10 3.6081 
57034.2720600159 3.90095e-06 19.619284408894744962 0.00007810509635330410 10 5.5131 
57041.2721890699 3.92729e-06 19.620094113623081176 0.00010874594343291415 10 11.5515 
57048.2270169590 3.7367e-06 19.619631820763909614 0.00010323514456608027 10 9.1613 
57055.2270021941 3.75742e-06 19.618973069357204407 0.00010743881948849032 10 9.6416 
57069.1818994917 3.69249e-06 19.619045324220474156 0.00006258150359629349 10 6.4343 
57076.1715663301 3.74584e-06 19.619811489760737527 0.00012112213877345475 10 11.7770 
57083.1714996244 3.78065e-06 19.619857928179835427 0.00011284215342874642 10 15.4365 
57090.1194624380 3.67867e-06 19.619318810412633081 0.00005825956037748629 10 7.0938 
57097.1194985534 3.77833e-06 19.620022386861315115 0.00004712959467212141 10 2.3413 
57104.0742695102 3.67354e-06 19.619309998217742323 0.00013359715452758249 10 24.8245 
57111.0743100183 3.72372e-06 19.618811985356919317 0.00007203478235314589 10 9.5517 
57118.0464648198 3.69713e-06 19.618843297165760102 0.00013495694939911470 10 46.3146 
57125.0291902093 3.68613e-06 19.617384378327839175 0.00005353604763169020 10 9.9067 
57132.0083167584 3.68515e-06 19.618463268589957624 0.00003591250180394198 10 1.3997 
57139.0083628880 3.75561e-06 19.618890329189054116 0.00005264471169339831 10 3.8861 
57152.9389332921 3.7109e-06 19.618972700326402047 0.00006896065845610288 10 6.9892 
57159.9389543691 3.71629e-06 19.618858273654983897 0.00011856194372853334 10 15.9439 
57166.9389024685 3.7929e-06 19.619470869771663034 0.00005989757992957611 10 4.2174 
57173.8764298661 3.81018e-06 19.620043401528431119 0.00010261316408170565 10 8.9131 
57180.8766074816 3.86958e-06 19.619939504723984826 0.00003887771018892985 10 1.2214 
57187.8312154227 3.97164e-06 19.620298053803892704 0.00009940965456418899 10 7.4506 
57201.8067348319 4.03933e-06 19.620062101636633415 0.00024510944208965837 10 42.8764 
57208.8068998356 3.94377e-06 19.62035945156222784 0.00007007792902512693 10 4.1675 
57229.7618177567 3.93241e-06 19.620843602024982649 0.00005444006408274125 10 1.7651 
57236.7165007815 3.92138e-06 19.618876876192513747 0.00009120941319735472 10 9.0070 
57243.7167313638 3.94505e-06 19.620190100968354637 0.00006126867691906943 10 1.8166 
57257.6470476441 4.04426e-06 19.619183598054502406 0.00007880887398131788 10 8.3409 
57271.6471683546 4.08737e-06 19.620452716485503791 0.00008776089511514782 10 5.2511 
57278.5847531159 3.92793e-06 19.621527065211528262 0.00012350186614928354 10 9.5782 
57292.5394845265 3.33291e-06 19.62246930795321714 0.00008072406712026292 9 1.5120 
57299.5396019914 3.93977e-06 19.620315890788049929 0.00006286272526437618 10 1.6989 
57309.5470220278 4.04724e-06 19.619218303639349731 0.00005816499163430085 9 0.9782 
57313.4900250439 3.92306e-06 19.62152917666708794 0.00007463668675267085 10 2.5682 
57320.4497244594 3.92716e-06 19.621288327581638674 0.00017143308920340814 8 2.6755 
57327.4634134796 4.23109e-06 19.620455230373787265 0.00016041053215854655 10 15.8415 
57334.4492510953 3.88511e-06 19.62056212964147763 0.00006080645413375413 10 2.1655 
57341.4494108825 4.03701e-06 19.62086080456271879 0.00004377167981363233 10 0.9887 
57348.4040539486 3.11788e-06 19.624110953426741274 0.00018001010803228993 6 1.0400 
57355.4042470013 3.7758e-06 19.620583747882598125 0.00006425508354325565 10 2.9507 
57370.3486918700 3.9097e-06 19.62030317321393626 0.00006873178943823083 10 3.0574 
57377.3000201638 3.79826e-06 19.619812253382657576 0.00004888890746570942 10 1.3428 
57387.2999683710 3.78617e-06 19.622015605430822002 0.00013111361181325861 10 9.0122 
57391.2999678789 3.74862e-06 19.620643440011004868 0.00011951435186694522 10 5.6259 
57398.2547084802 3.74004e-06 19.619921271450913053 0.00006764814693919161 10 2.5909 
57405.2545119404 3.77225e-06 19.620887966758959256 0.00008944213401883512 10 3.2619 
57419.2097336338 3.70833e-06 19.619694257443400285 0.00003680954190723385 10 0.9480 
57426.1644225898 3.72884e-06 19.619185787670361603 0.00007569835924239476 10 5.0803 
57433.1642413022 3.92652e-06 19.621120095729341067 0.00011354198985278623 10 4.7670 
57440.1642035125 4.12429e-06 19.618624667206475194 0.00010386436714948521 10 15.1404 
57447.1563076107 3.31692e-06 19.620375561534630651 0.00014125368235497437 10 8.2672 
57461.1181927504 3.39262e-06 19.618828207616986705 0.00006302440453311394 10 3.0610 
57468.0746128044 4.11097e-06 19.619228846258716072 0.00011358940423997222 10 5.7982 
57475.0768823524 3.3946e-06 19.619347487549184542 0.00008526810810715316 10 4.5702 
57482.0283668576 4.12227e-06 19.619039163569546148 0.00008141243480075462 10 3.0984 
57489.0297772035 4.0512e-06 19.618984753007505632 0.00006102273424652010 10 2.7475 
57496.0293699312 4.07136e-06 19.620026837856320689 0.00004773159401740392 10 1.9565 
57502.9651594016 4.25485e-06 19.620552916227253053 0.00018605516104883968 9 9.7357 
