#_MJD RANGE DM DMunc nToA chisq
56886.8632066035 3.71317e-06 19.375025273655247583 0.00048010173308192798 8 0.4106 
56914.7965303260 3.65221e-06 19.374527241034952749 0.00061068990321255106 9 0.8441 
56921.7965269815 3.6914e-06 19.374901855210349549 0.00070420845537942970 9 0.9607 
56928.7514402094 3.71857e-06 19.375498961004908437 0.00034530343359039513 9 0.2976 
56942.7201987933 3.70087e-06 19.375456264903150535 0.00091345836773544541 9 1.8665 
56949.7202189620 3.66946e-06 19.375222852855030332 0.00065006354767298713 9 0.7770 
56955.6686936518 3.71979e-06 19.374516026203292943 0.00046903551533090785 9 0.5493 
56966.6435759735 3.7061e-06 19.375479395227461205 0.00038231140764332803 9 0.3155 
56969.6818909364 3.71514e-06 19.376200342992792699 0.00082663405248951829 9 1.2825 
56977.6407341491 3.70734e-06 19.375067790674585844 0.00077125380503331568 9 1.3071 
56991.5990493560 3.68465e-06 19.376308355243610278 0.00064647000431183204 9 0.7920 
56998.5569872283 3.73715e-06 19.376536597697375339 0.00088249564834590676 9 1.3700 
57005.5778045167 3.70767e-06 19.377047769787070493 0.00054186366983599013 9 0.4594 
57019.5325800845 3.71028e-06 19.376181627253603434 0.00079084943354464999 9 1.0111 
57026.4880413993 3.73047e-06 19.375090050590277654 0.00111571237160697939 9 2.4164 
57033.4423884369 3.82751e-06 19.374344753871540044 0.00078417129367856721 9 1.0575 
57040.4424299850 3.72155e-06 19.375385480342901411 0.00088116365596319752 9 1.5077 
57047.3971798995 3.76779e-06 19.376572651168017098 0.00094913298598267928 9 1.4692 
57054.3971947957 3.73573e-06 19.376324464194178464 0.00061855782873648172 9 0.7572 
57069.3629918777 3.72682e-06 19.37560612867379207 0.00098199490598040477 9 1.5346 
57076.3522264149 3.73822e-06 19.37684904638730094 0.00056571761086388116 9 0.6059 
57083.3521504663 3.7041e-06 19.376056568302531712 0.00060918220239289281 9 0.4720 
57090.3075494974 3.65138e-06 19.375031300237044417 0.00103608247832263889 9 1.7427 
57097.3075379724 3.66424e-06 19.375958427533498859 0.00075825093045951795 9 0.9619 
57104.2616850934 3.67557e-06 19.377884748511225813 0.00080781820748805405 9 1.0011 
57111.2619009211 3.7025e-06 19.37491660031562095 0.00068183233955984839 9 0.7524 
57118.2269754879 3.6871e-06 19.375298873386266947 0.00057360018666005011 9 0.4964 
57125.2096405457 3.70579e-06 19.376203876319019654 0.00045956242962980320 9 0.3936 
57132.1888481577 3.73449e-06 19.377551021020730553 0.00096130158947810827 9 1.5981 
57139.1888424347 3.74187e-06 19.375727267963584431 0.00042844546430778960 9 0.3259 
57153.1199400466 3.80299e-06 19.375464652874675949 0.00049370179828385572 9 0.4129 
57160.1199257572 3.77651e-06 19.376219610515180037 0.00085199531322983641 9 1.0352 
57167.1198484490 3.78683e-06 19.376562660361361785 0.00081026895356062342 9 0.9776 
57174.0742951927 3.81808e-06 19.375255812856541521 0.00057045612118734456 9 0.6139 
57181.0742217091 3.7904e-06 19.376134849413734127 0.00059106575044314729 9 0.6821 
57188.0296043730 3.84305e-06 19.375920740207087418 0.00054471114190995527 9 0.4951 
57201.9879428377 3.81934e-06 19.375674210619430706 0.00085325775169594080 9 1.0802 
57208.9880055927 3.77652e-06 19.376365711357873388 0.00045191338730698734 9 0.2992 
57229.9423078477 3.74952e-06 19.376927614291989801 0.00100458606284943228 9 1.3886 
57236.8972587634 3.71297e-06 19.37534915113095637 0.00073773283857596524 9 0.8279 
57243.8972793430 3.72512e-06 19.37404518082455152 0.00118442184063820830 8 0.9595 
57257.8278081143 3.78236e-06 19.376986231731201696 0.00148680311275419387 9 2.8864 
57264.8294326078 3.70956e-06 19.3766812155493546 0.00097641770937140584 9 0.9211 
57271.8278476026 3.70756e-06 19.374944404495599192 0.00041433447906217999 9 0.2053 
57278.7826946655 3.79454e-06 19.376827899925247447 0.00085652087692687426 9 0.9362 
57292.7380306582 3.79324e-06 19.375348113772855501 0.00082979305082889307 9 0.9863 
57299.7381716702 3.72966e-06 19.37684440537096001 0.00095848582302006022 9 0.9560 
57313.6929129912 3.727e-06 19.376665302669188011 0.00074995274029798049 9 0.6016 
57320.6471642588 3.87419e-06 19.374401825431092459 0.00068669675774708956 9 0.5668 
57327.6471968345 3.83564e-06 19.377313198516001458 0.00114438628129649765 9 1.3004 
57334.6473017927 3.7681e-06 19.376610499089346761 0.00088024217826872405 9 1.0044 
57341.6469808700 3.76767e-06 19.37793745266840534 0.00140053730515083980 8 1.9262 
57348.5847453297 3.79669e-06 19.376881932776670885 0.00091966661996186394 9 1.2401 
