#_MJD RANGE DM DMunc nToA chisq
56886.9527506795 2.72048e-06 14.184124163516310184 0.00002643903929798911 8 0.1589 
56893.9318885008 2.7267e-06 14.184017991876546386 0.00004300841467871080 9 0.5737 
56907.9319268582 2.7317e-06 14.184244512411714342 0.00004400914570953984 9 0.5392 
56914.8867635134 2.74855e-06 14.184248196241987724 0.00004698517462394021 9 0.6708 
56921.8867362854 2.69639e-06 14.183931986693982398 0.00007667383983005271 9 1.6199 
56928.8417384577 2.73965e-06 14.183928561361658087 0.00004974529271363097 9 0.5945 
56942.8417203167 2.74216e-06 14.184506432914532052 0.00009567029737485534 10 2.7984 
56948.7999407160 2.75214e-06 14.184172287126144656 0.00008999739492211594 9 1.6255 
56955.7584137086 2.73487e-06 14.18437975930603827 0.00004688916349488181 10 0.7583 
56968.6888216522 2.76117e-06 14.184101980959920079 0.00006230050970948061 10 0.9164 
56977.7305184633 2.74506e-06 14.183985989696544933 0.00007402754650390774 10 1.3618 
56991.6888747409 2.7423e-06 14.184419539509749396 0.00007698917495152773 9 1.0350 
56998.6472279559 2.58867e-06 14.18407682003851561 0.00011060348293951894 8 1.5829 
57005.6680555717 2.72167e-06 14.1839585154777108 0.00004229662309668213 10 0.3550 
57012.6231046219 2.76409e-06 14.18455531986159435 0.00008894687089704259 9 1.2115 
57019.6230037169 2.74414e-06 14.184619712196257388 0.00010621013804965478 10 2.3563 
57026.5779026384 2.74007e-06 14.184164422113456915 0.00007913613559303487 10 1.0824 
57033.5325782457 2.74301e-06 14.184521472673361105 0.00009141262800765389 10 1.6430 
57040.5324842936 2.73429e-06 14.184394681890540186 0.00010264882644402890 10 2.2303 
57047.4876324808 2.73737e-06 14.184170855191330744 0.00011367677000041377 10 2.3695 
57054.4877020690 2.71672e-06 14.184469672324496344 0.00007008390879728736 10 0.9810 
57068.4423706610 2.72596e-06 14.184186067325091077 0.00005091860707661922 10 0.5451 
57075.4493942773 2.73871e-06 14.184265026813677102 0.00006912770799308101 9 0.9042 
57082.4493937959 2.73731e-06 14.184413790206460868 0.00013866447846813763 10 3.0200 
57089.4035429829 2.69782e-06 14.184281466716399865 0.00008888721392408387 10 1.2245 
57096.4042210512 2.72852e-06 14.1843071579672028 0.00007201696805946099 10 0.9144 
57104.3520115053 2.72464e-06 14.184605450285695138 0.00010533002953176008 10 2.4256 
57111.3519321659 2.73337e-06 14.184213696581504457 0.00007081951464192799 10 0.8389 
57118.3174711411 2.74427e-06 14.184378737235874431 0.00010788068909242542 10 2.2016 
57125.2999837475 2.72591e-06 14.184383379689368145 0.00012375390566067226 10 3.4089 
57132.2792187079 2.76457e-06 14.184140738180893679 0.00005031910472044812 10 0.5190 
57139.2791461080 2.69219e-06 14.184243372548718777 0.00009267110786873381 10 1.0613 
57153.2095493290 2.72492e-06 14.18427949371682464 0.00008013881222726784 10 1.1899 
