#_MJD RANGE DM DMunc nToA chisq
#56817.2724634228 1.01739e-06 17.277858382245623781 0.00098995818132186050 5 2.3837 
56823.2722315949 1.7145e-06 17.277086751058115581 0.00025898151035503837 7 0.4375 
56837.2304049004 1.78327e-06 17.277428423584705722 0.00039528050113605710 7 0.9888 
56852.1680128209 9.59295e-07 17.277704300853686257 0.00048262386947659397 5 0.5363 
56880.1089977403 1.71313e-06 17.277687245678237165 0.00021432462459914687 8 0.3358 
56887.0881790744 1.71227e-06 17.277625569749588139 0.00042311057611942238 8 1.3140 
56894.0673409310 1.71414e-06 17.277232452219348387 0.00018268213776358614 7 0.2286 
56908.0673140983 1.71433e-06 17.277421153893484807 0.00023488068011313511 8 0.3334 
56915.0222035136 1.71327e-06 17.277312637644518465 0.00020404166469919179 8 0.3194 
56922.0222110199 1.71372e-06 17.277672711641304838 0.00030552989358890173 8 0.6787 
56928.9770783607 1.71354e-06 17.277423027680409329 0.00055685326657362076 6 1.4495 
56935.9770877458 9.06024e-07 17.277494701757377945 0.00033164979534440410 5 0.4231 
56942.9770379698 1.71413e-06 17.278049719840493703 0.00022217984067193490 8 0.3281 
56948.9354069701 1.71329e-06 17.278072533414914148 0.00018975727353818175 9 0.3323 
56955.8937569577 1.71419e-06 17.278151364657161535 0.00025535759650761278 7 0.3706 
56968.8242689137 1.71652e-06 17.277549429525333777 0.00018537219503433433 8 0.2956 
56977.8659957467 1.71481e-06 17.277773898157521487 0.00043581859039143749 8 1.0920 
56981.7499596417 1.71757e-06 17.277624410767474364 0.00036828444600792425 8 0.8929 
56991.8243227761 1.71542e-06 17.278011366562174201 0.00038722406556011032 8 0.9731 
56998.7826667098 1.71462e-06 17.27803103448388721 0.00048096544141130603 7 1.1135 
57005.8034501904 1.71591e-06 17.2779437943634585 0.00038044916649756675 9 1.0181 
57012.7583498176 1.7153e-06 17.277327632801536793 0.00027697386212507914 7 0.3693 
57019.7583392286 1.71423e-06 17.27831505878254993 0.00063069271731561248 7 1.6743 
57026.7132062285 1.71428e-06 17.278013499827394145 0.00039317746375110526 8 1.0371 
57033.6681870370 1.71264e-06 17.277993230051326272 0.00039637392910614997 8 0.9900 
57040.6681173840 1.71488e-06 17.278059756390999892 0.00041090479454181604 9 1.2921 
57047.6229593801 1.71247e-06 17.278278456950420958 0.00038454209889042442 8 0.9836 
57054.6229173868 1.71547e-06 17.277890706844293449 0.00038818342243077510 9 1.1776 
57068.5777852045 1.71641e-06 17.27733994962644835 0.00038903623822754830 8 1.0681 
57075.5846594816 9.59939e-07 17.277557047935679179 0.00052447353201953717 7 1.1662 
57082.5846903887 1.71587e-06 17.277787201678187375 0.00041073374700576604 8 0.8774 
57089.5402380876 1.71284e-06 17.278550636536504517 0.00049137526757673828 7 1.2640 
57096.5395555727 1.71388e-06 17.278133301352011995 0.00037068181696383722 8 0.9488 
57103.4944220973 1.71295e-06 17.278493711275885342 0.00017574887110844982 9 0.3262 
57110.4944487778 1.71241e-06 17.278521257084749176 0.00014403537230670084 7 0.1273 
57117.4493198148 1.71362e-06 17.27821433711847777 0.00022697341740616315 9 0.4229 
57124.4492940332 1.65983e-06 17.277806086240932153 0.00047292481290412612 7 1.0929 
57131.4041632127 1.71322e-06 17.278053385175165934 0.00044435239215749269 8 1.3605 
57138.4042346898 1.71119e-06 17.278277353785797356 0.00033064440383442830 8 0.6770 
57153.3449495661 1.69204e-06 17.278162154171241398 0.00037646554656949272 8 0.9331 
57160.3450609796 1.71267e-06 17.277823281723281409 0.00020206735683061400 9 0.3497 
57167.3450015756 1.71258e-06 17.277944542430606822 0.00036100355383151200 9 1.0066 
57174.2999480427 1.71314e-06 17.278552598513952568 0.00044148234003277850 8 1.1007 
57181.2999811807 1.71576e-06 17.278539532399948183 0.00041829399539581702 7 0.9327 
57202.2130523071 1.71206e-06 17.278063181615626365 0.00023847096191959388 9 0.5309 
57209.2131037028 1.7124e-06 17.277838378824404285 0.00046034552963347935 9 1.5857 
57230.1680519914 1.71054e-06 17.278802449499198159 0.00050765767818219693 8 1.0829 
57237.1229180884 1.71144e-06 17.278416877822259559 0.00041673152708110607 9 1.4567 
57244.1228808148 1.71343e-06 17.2782690260282364 0.00024945342826641583 8 0.4049 
57258.0533858484 1.71253e-06 17.278667316619801785 0.00016446596527139692 7 0.1493 
57265.0538824781 1.68874e-06 17.278986128972362931 0.00041550780451912625 8 0.8080 
57272.0534864713 1.71312e-06 17.278408888416797212 0.00028370440539854505 8 0.5269 
57279.0083618586 1.71348e-06 17.278846560878342822 0.00040318435339318273 9 1.3151 
57292.9631877067 1.71165e-06 17.278925040563642123 0.00062691053837779791 7 1.9267 
57299.9631784637 1.7129e-06 17.278275934476921285 0.00052316006881133982 8 1.4160 
57308.9874749011 1.71343e-06 17.278469973698223135 0.00032190533748083515 7 0.3739 
57313.9181099027 1.71317e-06 17.278842583521615461 0.00029004079665479474 9 0.7221 
57320.8730038804 1.71473e-06 17.278139221258173837 0.00048148351424482906 8 1.1932 
57327.8729981438 1.7135e-06 17.278133016917031149 0.00019823534169646553 9 0.2606 
57334.8729823114 1.71322e-06 17.278428820524308136 0.00030179028502426788 9 0.6248 
57341.8730255645 1.71301e-06 17.278474768194970919 0.00021741968205472523 7 0.2183 
57348.8277627856 1.71279e-06 17.278574390380146683 0.00026308533567372355 9 0.4974 
57355.8277750108 1.71261e-06 17.278648709569418363 0.00032739192741651360 8 0.4910 
57362.7653201585 1.71365e-06 17.278583910741223661 0.00035448117618008752 9 0.9402 
57369.7652616884 1.71522e-06 17.278442137348671974 0.00043663545559336690 7 0.7356 
57376.7202271789 1.71302e-06 17.278581472329368399 0.00066537237614077164 7 2.1586 
57386.7201585186 1.71435e-06 17.278221813566569429 0.00031120677897035921 9 0.7135 
57390.7201394364 1.7128e-06 17.277933112720037574 0.00044584404469695039 9 1.1705 
57397.6750531341 1.71457e-06 17.27882444667163701 0.00027079743392217356 9 0.5736 
57404.6750063668 1.71227e-06 17.278430592096012496 0.00036609544252909630 9 1.0050 
57418.6298357350 1.71173e-06 17.279095266767330803 0.00032600013597258086 7 0.3955 
