#_MJD RANGE DM DMunc nToA chisq
57376.6334904162 1.11533e-05 93.374887845943743664 0.52739855081916309221 10 1136.1934 
57383.5386011961 1.14947e-05 93.634752154916267436 0.53076766880731973686 10 910.3737 
57390.4875026669 1.21355e-05 94.416132836177440998 0.01837695779345899921 10 1.3839 
57397.4874572504 1.14363e-05 94.605229934120159546 0.33130912741455359471 10 434.3664 
57404.4879924462 1.11751e-05 94.479338305340098747 0.10498991114852390671 10 40.5520 
57411.4849245636 1.14119e-05 94.609233572115496613 0.22866488667384168854 10 215.7059 
57418.4862422581 1.13681e-05 94.351009827610561903 0.08297779840748187308 10 42.7122 
57425.4880197340 1.13496e-05 94.41617769849494228 0.06287901718895098913 10 24.0300 
57432.4879536218 1.14151e-05 94.417336520093961383 0.02686932455321446381 10 3.4666 
57439.4882056604 1.12574e-05 94.603349878218899988 0.30402816282089645261 10 616.4972 
57446.4971818216 1.14803e-05 94.415177660127206055 0.01964895265886537970 10 2.1114 
57453.5048475400 1.15024e-05 94.417791997375289451 0.02180397250566607978 10 2.6523 
57460.5043035687 1.14896e-05 94.397994656583379874 0.01646807165907140241 10 1.2258 
57467.4216337928 1.13871e-05 94.416477764284940433 0.01768736714580643188 10 1.6254 
57474.4216639719 1.13817e-05 94.431190527512386124 0.01144998823856611947 10 0.7058 
57482.2687368296 1.14452e-05 94.011957268935965243 0.50568956723109415030 10 1162.9773 
57489.2470484394 1.15133e-05 94.222444785995793731 0.29385244494466356002 10 263.8862 
57491.4384742243 1.1467e-05 94.387150905819169118 0.03077736992381008979 10 5.4324 
57496.2674665556 1.1437e-05 94.700909549003907811 0.17039391256393743301 10 150.3167 
57510.2146410798 1.11679e-05 94.967716369212016397 0.56798177705395980208 10 790.4778 
57517.1586893609 1.15486e-05 95.461727996588438855 0.75351119393357335330 10 1954.8693 
57524.1586876282 1.12898e-05 94.393647391727291726 0.01180837260291308331 10 0.5902 
57531.1581491594 1.11372e-05 94.28745821844786637 0.27276254547120315497 10 340.6311 
57538.1443584445 1.13134e-05 94.837475225927694439 0.43097055814445506261 10 609.5598 
57545.1606180038 1.12943e-05 94.436845259305637501 0.04643065851447502473 10 7.8747 
57552.1607590891 1.1403e-05 94.299426992428770175 0.09691075422801841144 10 49.2883 
57559.1606121826 1.14561e-05 94.919012540241332526 0.50646621364204635896 10 1114.0784 
57566.0682807951 1.12e-05 93.804392147776290062 0.49534822607039691311 10 951.8147 
57573.0680415994 1.16574e-05 94.833508656053256275 0.30020571832065784390 10 495.3217 
57593.9897810019 1.15757e-05 94.930393549523965663 0.33464112757759073569 10 247.5831 
57600.9642140257 1.11814e-05 94.449730350332030418 0.04128242207775688344 10 9.2172 
57607.9660763222 1.11518e-05 94.083460458029003121 0.43102513670761799514 10 795.1318 
57614.9636951316 1.13632e-05 94.231967091875165177 0.36035749583139914387 10 577.4247 
57621.8103818490 1.19766e-05 94.478361952100388073 0.03519005754267020419 10 4.0480 
57635.8545125408 1.15966e-05 95.246263266173084555 0.77794438184322833862 10 2488.1912 
57642.8532223324 1.12054e-05 94.089090596278829676 0.38154689116429807427 10 616.9503 
57649.8540833452 1.13197e-05 94.233696806100181509 0.26667849029969586949 10 295.6624 
#57656.8046302772 1.08236e-05 93.461296437666367604 1.63140231520069578508 10 18031.2026 
57663.8033254735 1.10898e-05 94.423466092982626378 0.01788615274355818963 10 1.7773 
#57674.7238080288 1.15337e-05 88.633487893224941673 1.62812897652710497631 10 9621.5295 
57681.7232205518 1.12827e-05 94.735439380915056479 0.42645862487332070190 10 755.2282 
57688.7205892328 1.11585e-05 94.664124983513022099 0.42500301462649681117 10 611.1035 
57698.5464195550 1.16518e-05 93.957403358309872915 0.41396588564106545638 10 532.9746 
57705.6051430666 1.20756e-05 95.0312868303269562 0.73261055003966968346 10 2036.0583 
57712.6057780059 1.14953e-05 94.388936965087130042 0.01695645439600605708 10 1.7974 
57719.6128250362 1.13518e-05 94.32561118261272709 0.14680359932413528101 10 68.3542 
