#_MJD RANGE DM DMunc nToA chisq
57369.8512379836 7.47516e-06 65.84008386907068501 0.01035281422705939050 7 0.4097 
57376.7897165104 8.13666e-06 65.823968274345366999 0.01497251642620093907 7 0.4719 
57383.7665242272 8.1373e-06 65.83275920232539509 0.01623155218483652434 7 0.8033 
57390.6610967412 8.11969e-06 65.812960883168271121 0.01161004053161595814 8 0.5296 
57397.6612369406 8.14665e-06 65.820509817336854998 0.00849602349633192880 8 0.2479 
57404.6610148441 8.1366e-06 65.825700138533463759 0.00795315453565468081 8 0.3314 
57411.6575865899 8.09629e-06 65.835546037681711304 0.01278830620244793791 9 0.7134 
57418.6575931088 8.13254e-06 65.825774936418237931 0.01330661977353812982 7 0.4714 
57425.6609895403 8.16584e-06 65.805791382132839934 0.01199064263689890789 8 0.6185 
57432.6610636627 8.16196e-06 65.854161735018048901 0.01859090830520000737 7 1.0753 
57439.7268648664 8.12788e-06 65.821407009841985079 0.01158518942195322851 8 0.5375 
57446.7413045737 8.0838e-06 65.842002353123678549 0.01336710206090059236 6 0.3846 
57453.7444930536 7.69335e-06 65.824464014458489332 0.01225931265283682937 6 0.3883 
57460.7449362014 8.0924e-06 65.843247843763470291 0.01823105175052313828 6 0.4998 
57467.6609996102 8.08742e-06 65.830261486239326239 0.01410355556490873463 8 0.5777 
57474.6612642073 8.11785e-06 65.798599792139665754 0.00826367791129247083 9 0.3809 
57481.5742443905 7.53183e-06 65.839063260841412598 0.01905251266654853920 5 0.5177 
57495.5743769502 8.15386e-06 65.831811507931767821 0.02028592169379617866 7 0.9836 
57516.4249401333 8.12604e-06 65.824372535319553755 0.01258491052122777919 7 0.8274 
57523.4247693917 8.13345e-06 65.818524260418145175 0.01574284883836903071 7 0.6405 
57530.4250930587 8.16803e-06 65.809590779894059191 0.01318933462364667124 8 0.7767 
57537.4249212409 8.14292e-06 65.831224956178974149 0.01422674568157398893 8 0.6936 
57544.4247404681 7.53416e-06 65.830922825211308377 0.01065157090627121689 7 0.3344 
57551.4247685764 8.15795e-06 65.811865843939341185 0.01170521679669248374 9 0.6747 
57566.3068885759 7.46694e-06 65.822255572392734169 0.00872153756538711356 8 0.4244 
57601.2026819254 5.49615e-06 65.823807745458082059 0.01455497047735797821 7 0.9523 
57608.2026651418 8.14382e-06 65.825140685594898157 0.02572306614550518358 7 2.3848 
57615.2026480822 8.12895e-06 65.827712642282738192 0.01176414056701811754 7 0.5497 
57621.9843743015 8.14884e-06 65.824868813738604163 0.01395053406725160240 8 0.8663 
57636.0259059743 8.13116e-06 65.826304595396355882 0.01343853446868553507 8 0.7612 
57643.0261283753 8.14077e-06 65.846517509947885521 0.00773774676084461061 7 0.1870 
57650.0916351744 8.14656e-06 65.819226877334806924 0.01647137863585059966 8 1.2028 
