#_MJD RANGE DM DMunc nToA chisq
57390.4874973014 6.34495e-06 94.439989633896442203 0.01923517049966162393 4 1.2029 
57397.4874498388 6.25067e-06 94.417533047575638146 0.02948123109537360148 4 2.4292 
57418.4862349425 6.28527e-06 94.421384157213964806 0.01063301662107884495 4 0.4816 
57432.4879462355 6.25897e-06 94.414950673887787558 0.01530625099589214867 4 0.7057 
57439.4881984563 6.26602e-06 94.43738703288578646 0.00693781823597167373 4 0.2305 
57460.5042961130 6.18957e-06 94.408591603374103447 0.01804154102170874713 4 1.0348 
57467.4216264514 6.23906e-06 94.41911229635305889 0.02043641713834727300 4 1.4552 
57474.4216566415 6.2363e-06 94.412029781508690865 0.00380874516347555914 4 0.0509 
57489.2470408117 6.43354e-06 94.430987129532484768 0.00604364266092772065 4 0.1034 
57491.4384668144 6.26269e-06 94.400053932762421099 0.01784915335286551413 4 1.3655 
57517.1586818423 6.20107e-06 94.421528592236687108 0.00249744381022879401 4 0.0140 
57524.1586804130 6.23938e-06 94.418650577028939874 0.00239670303231594075 4 0.0180 
57531.1581420636 6.25678e-06 94.434670122888262844 0.02536016813249904536 4 2.3540 
57600.9642068620 6.21679e-06 94.420820163949186823 0.01005120048297012368 4 0.3538 
57607.9660691273 6.24666e-06 94.412081575773543984 0.00873800691558934174 4 0.2243 
57614.9636878055 6.24472e-06 94.403351180059516465 0.00932454189980080374 4 0.2868 
57621.8103763138 6.30002e-06 94.413411375311942088 0.01117018589120304280 4 0.2223 
57635.8545049780 6.17341e-06 94.406280426220299959 0.01336514279828146003 4 0.5830 
57663.8033183783 6.20543e-06 94.427245856011174124 0.01818897188827283892 4 1.0830 
57754.6062271433 6.22586e-06 94.415579958068418118 0.00750972441287305319 4 0.2315 
57761.5505727721 6.26e-06 94.410642302702568671 0.02221936192885582209 4 2.0380 
57775.4737088684 6.37043e-06 94.426415010090885477 0.00585624656111355564 4 0.1213 
57796.5055279317 6.30495e-06 94.427333952106136575 0.01791703273431254420 4 1.9258 
57824.4179012499 6.31558e-06 94.408922308820672223 0.01416848085419797169 4 0.8743 
57846.3138883989 6.25525e-06 94.413230132892684461 0.00744331465041552127 4 0.2540 
57853.3139378258 6.26691e-06 94.420197233467180395 0.00722470309585441194 4 0.2161 
57860.3138370560 6.27136e-06 94.421867793950310301 0.01218934607164359578 4 0.8244 
57895.1611302244 6.26895e-06 94.409104804088541905 0.02824601250447418208 4 2.9081 
57902.1611356111 6.27662e-06 94.422933502099233929 0.01884024827072345448 4 1.9645 
57909.1612100169 6.26275e-06 94.42913053447523182 0.00146010438531739457 4 0.0109 
57937.0743458280 6.29109e-06 94.429184121704755062 0.01417241880137265313 4 1.2977 
57958.0743585021 6.26961e-06 94.415063839187886391 0.00824295487281927197 4 0.4090 
57971.0091431753 6.22471e-06 94.41661916555944857 0.00248307168418868303 4 0.0533 
57992.9421789453 6.25465e-06 94.429874384188357203 0.00646634254116121038 4 0.2057 
58013.7886800974 6.21205e-06 94.405527705916459633 0.00946657902451432907 4 0.2956 
58020.7901212397 6.3219e-06 94.432900747189307794 0.01119030909227920062 4 0.6165 
58027.7896188435 6.12398e-06 94.383358149133052509 0.01076338014146429982 4 0.4930 
58048.7236099640 6.25978e-06 94.423625929100333913 0.00918995780323384609 4 0.3110 
58069.7235987392 6.24058e-06 94.410705035800389445 0.01638222777110035985 4 1.5095 
58083.6577196873 6.21547e-06 94.400481506231784058 0.02082800035122030560 4 1.6339 
58090.6576437535 6.33042e-06 94.437123328425203031 0.00587693670402998809 4 0.1409 
58132.5915064774 6.31044e-06 94.424902009276366253 0.01670923700980026308 4 1.3576 
58139.5360476977 6.26496e-06 94.43200017219448765 0.00323826992644520506 4 0.0646 
58146.5361406431 6.25725e-06 94.418813100382770059 0.00647330835562182072 4 0.2816 
58491.5602712066 6.38177e-06 94.421337396689010241 0.00308256406613118721 4 0.0334 
58512.5609175265 6.27247e-06 94.409787328087828244 0.00748596811288249064 4 0.4526 
